Mg_initial (mM),PPi_initial (mM),Mg_undiluted (mM),PPi_undiluted (mM)
8,1,6.415,1.13
8,1.5,5.185,0.98
8,1.75,4.68,0.895
8,1.875,4.415,0.82
8,2,4.325,0.955
8,2.125,4.37,1.14
8,2.25,4.175,1.095
8,3,3.93,1.65
8,4,4.065,2.935
8,8,3.68,6.395
8,4,4.095,2.93
21,4,10.005,0.58
21,6,7.62,0.4
21,10,2.44,1.495
40,4,30.72,0.645
70,4,61.72,0.605
100,4,92.18,0.765
16,16,1.955,9.51
32,32,2.51,17.525
32,64,12.765,51.235
120,6,107.785,-1.53
110,6,119.26,-0.295
90,4,102.61,0.055
80,4,101.495,0.98
60,4,76.655,1.42
50,4,58.9,1.42
30,4,31.19,1.405
20,4,17.22,1.305
32,80,28.14,89.805
32,54,14.94,52.115
32,44,9.53,32.085
32,34,5.695,24.335
