Mg_initial (mM),PPi_initial (mM),Mg_undiluted (mM),PPi_undiluted (mM)
8,1,6.41500,0.20750
8,1.5,5.18500,0.09250
8,1.75,4.68000,0.09000
8,1.875,4.41500,0.08250
8,2,4.32500,0.16250
8,2.125,4.37000,0.31000
8,2.25,4.17500,0.33750
8,3,3.93000,0.96500
8,4,4.06500,2.03250
8,8,3.68000,5.84000
8,4,4.09500,2.04750
21,4,10.00500,-1.49750
21,6,7.62000,-0.69000
21,10,2.44000,0.72000
40,4,30.72000,-0.64000
70,4,61.72000,-0.14000
100,4,92.18000,0.09000
16,16,1.95500,8.97750
32,32,2.51000,17.25500
32,64,12.76500,54.38250
120,6,107.78500,-0.10750
110,6,119.26000,10.63000
90,4,102.61000,10.30500
80,4,101.49500,14.74750
60,4,76.65500,12.32750
50,4,58.90000,8.45000
30,4,31.19000,4.59500
20,4,17.22000,2.61000
32,80,28.14000,78.07000
32,54,14.94000,45.47000
32,44,9.53000,32.76500
32,34,5.69500,20.84750
