Mg_initial (mM),PPi_initial (mM),Mg_undiluted (mM),PPi_undiluted (mM)
4,0.5,2.95623,0.01688
4,0.5,2.86388,0.0199
4,1,1.81,0.02507
4,1,1.88597,0.02513
4,1.5,0.8299,0.03215
4,1.5,0.92582,0.02941
4,2,0.14248,0.13638
4,2,0.13409,0.12123
4,2.5,0.27651,0.72281
4,2.5,0.28835,0.75998
4,3,0.42735,1.4186
4,3,0.4045,1.36404
4,4,0.55878,2.51054
4,4,0.54819,2.41656
4,6,0.71517,4.73253
4,6,1.26145,4.75963
4,8,1.72542,6.79269
4,8,1.45877,6.94405
4,10,2.40468,9.00081
4,10,1.72913,8.91563
4,12,2.967,11.14442
4,12,3.01622,11.39255
8,1,6.04829,0.03369
8,1,5.87533,0.02802
8,2,3.97504,0.05759
8,2,3.88291,0.05633
8,3,1.528,0.06273
8,3,1.60892,0.06105
8,4,0.15264,0.21832
8,4,0.14499,0.18531
8,5,0.37,1.29459
8,5,0.34682,1.19245
8,6,0.50951,2.36689
8,6,0.46301,2.31608
8,8,0.59965,4.38885
8,8,0.6245,4.44264
8,12,0.85237,8.26627
8,12,0.85317,8.27619
8,16,1.06269,11.85439
8,16,1.15825,11.95281
8,20,1.39414,15.45053
8,20,1.39952,15.92481
8,24,1.85936,19.43818
8,24,1.74352,18.95725
16,2,12.68879,0.08196
16,2,12.13622,0.07241
16,4,7.9563,0.10406
16,4,7.95544,0.10495
16,6,3.84818,0.10552
16,6,3.62411,0.10127
16,8,0.18879,0.11308
16,8,0.1619,0.11833
16,10,0.98182,2.82385
16,10,0.73959,1.97977
16,12,1.09065,4.65144
16,12,1.37353,4.47077
16,16,1.13378,8.09432
16,16,1.49622,8.29369
16,24,1.6044,15.82358
16,24,1.98467,15.7282
16,32,2.10774,23.29315
16,32,2.11437,22.34582
16,40,2.97602,30.14437
16,40,2.99601,30.60048
32,4,24.52957,0.17914
32,4,24.07413,0.16844
32,8,16.15139,0.16833
32,8,14.69465,0.17148
32,12,7.46776,0.14546
32,12,7.11392,0.1315
32,16,0.16759,0.16781
32,16,0.14283,0.18103
32,20,0.90184,3.71684
32,20,1.76701,4.97657
32,24,1.23305,8.18061
32,24,1.35033,8.15575
32,32,1.37754,15.85223
32,32,1.36564,15.48112
64,8,50.39766,0.37214
64,8,47.09564,0.35787
64,16,34.62485,0.23487
64,16,31.05864,0.20779
64,24,17.3096,0.1209
64,24,15.77368,0.10599
4,1.75,0.31931,0.7928
4,1.75,0.1869,0.07079
4,1.875,0.1622,0.12043
4,1.875,0.15044,0.12245
4,2.125,0.17881,0.27581
4,2.125,0.18541,0.29531
4,2.25,0.331,0.64429
4,2.25,0.29236,0.55905
16,48,5.5572,40.7821
16,48,5.58668,41.91861
32,48,4.04686,34.27981
32,48,3.99193,34.32199
32,64,5.73194,50.9379
32,64,5.73584,49.32262
32,80,8.35394,65.01587
32,80,8.86308,69.69958
32,96,11.71228,86.02987
32,96,11.89216,87.65535
64,40,0.8775,12.64744
64,40,0.92122,13.19284
64,48,1.72298,22.0296
64,48,1.65554,21.20244
64,64,3.16886,35.73609
64,64,3.2214,36.98927
64,96,7.74204,72.95201
64,96,7.7708,73.65585
